game_date,game_time_et,matchup,team,player,status,report_at,source
12/22/2020,07:00,GSW@BKN,BrooklynNets,"Claxton, Nicolas",Out,2020-12-21 22:30:00+00:00,Injury-Report_2020-12-21_05PM.pdf
12/22/2020,07:00,GSW@BKN,GoldenStateWarriors,"Green, Draymond",Out,2020-12-21 22:30:00+00:00,Injury-Report_2020-12-21_05PM.pdf
12/22/2020,07:00,GSW@BKN,GoldenStateWarriors,"Smailagic, Alen",Out,2020-12-21 22:30:00+00:00,Injury-Report_2020-12-21_05PM.pdf
12/22/2020,10:00,LAC@LAL,LAClippers,,NotSubmitted,2020-12-21 22:30:00+00:00,Injury-Report_2020-12-21_05PM.pdf
12/22/2020,10:00,LAC@LAL,LosAngelesLakers,,NotSubmitted,2020-12-21 22:30:00+00:00,Injury-Report_2020-12-21_05PM.pdf
12/22/2020,07:00,GSW@BKN,BrooklynNets,"Claxton, Nicolas",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/22/2020,07:00,GSW@BKN,GoldenStateWarriors,"Green, Draymond",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/22/2020,07:00,GSW@BKN,GoldenStateWarriors,"Smailagic, Alen",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/22/2020,10:00,LAC@LAL,LAClippers,"Morris Sr., Marcus",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,CHA@CLE,CharlotteHornets,"Riller, Grant",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,CHA@CLE,ClevelandCavaliers,"Dellavedova, Matthew",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,CHA@CLE,ClevelandCavaliers,"Exum, Dante",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,CHA@CLE,ClevelandCavaliers,"Love, Kevin",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,CHA@CLE,ClevelandCavaliers,"Porter Jr., Kevin",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,MIA@ORL,MiamiHeat,"Vincent, Gabe",Questionable,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,MIA@ORL,OrlandoMagic,"Aminu, Al-Farouq",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,MIA@ORL,OrlandoMagic,"Ennis III, James",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,MIA@ORL,OrlandoMagic,"Isaac, Jonathan",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,IndianaPacers,"Bitadze, Goga",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,IndianaPacers,"Bowen II, Brian",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,IndianaPacers,"Lamb, Jeremy",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,IndianaPacers,"Warren, T.J.",Questionable,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,NewYorkKnicks,"Rivers, Austin",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,NewYorkKnicks,"Robinson, Mitchell",Probable,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,NewYorkKnicks,"Smith Jr., Dennis",Probable,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,NewYorkKnicks,"Spellman, Omari",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,NewYorkKnicks,"Hachimura, Rui",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,NewYorkKnicks,"Mathews, Garrison",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:00,NYK@IND,NewYorkKnicks,"Winston, Cassius",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
12/23/2020,07:30,MIL@BOS,BostonCeltics,"Fall, Tacko",Out,2020-12-22 22:30:00+00:00,Injury-Report_2020-12-22_05PM.pdf
